Epoch: 386, Loss A: 0.085961506, loss B: 0.062921435
Epoch: 387, Loss A: 0.08733915, loss B: 0.061977133
Epoch: 388, Loss A: 0.08287441, loss B: 0.05835319
Epoch: 389, Loss A: 0.07867727, loss B: 0.059234973
Epoch: 390, Loss A: 0.0819782, loss B: 0.05851495
Epoch: 391, Loss A: 0.08697892, loss B: 0.061996385
Epoch: 392, Loss A: 0.07810557, loss B: 0.061019007
Epoch: 393, Loss A: 0.08162905, loss B: 0.067149386
Epoch: 394, Loss A: 0.08236225, loss B: 0.05775982
Epoch: 395, Loss A: 0.08489844, loss B: 0.05565492
Epoch: 396, Loss A: 0.08160812, loss B: 0.058017407
Epoch: 397, Loss A: 0.084588856, loss B: 0.057795696
Epoch: 398, Loss A: 0.08340432, loss B: 0.05830341
Epoch: 399, Loss A: 0.08304561, loss B: 0.059172295
Epoch: 400, Loss A: 0.07832321, loss B: 0.060584314
Epoch: 401, Loss A: 0.078142576, loss B: 0.060932364
Epoch: 402, Loss A: 0.081298575, loss B: 0.058504544
Epoch: 403, Loss A: 0.084319055, loss B: 0.05972959
Epoch: 404, Loss A: 0.08151168, loss B: 0.061996438
Epoch: 405, Loss A: 0.09409788, loss B: 0.06067504
Epoch: 406, Loss A: 0.08327338, loss B: 0.05877087
Epoch: 407, Loss A: 0.08397061, loss B: 0.055868153
Epoch: 408, Loss A: 0.083603024, loss B: 0.05997063
Epoch: 409, Loss A: 0.08824683, loss B: 0.057236295
Epoch: 410, Loss A: 0.08412307, loss B: 0.05691511
Epoch: 411, Loss A: 0.0879887, loss B: 0.06509486
Epoch: 412, Loss A: 0.0877302, loss B: 0.058904983
Epoch: 413, Loss A: 0.080753274, loss B: 0.06066978
Epoch: 414, Loss A: 0.086065136, loss B: 0.061097525
Epoch: 415, Loss A: 0.08351378, loss B: 0.058594402
Epoch: 416, Loss A: 0.08370365, loss B: 0.06035213
Epoch: 417, Loss A: 0.07827553, loss B: 0.056857258
Epoch: 418, Loss A: 0.08097895, loss B: 0.06783773
Epoch: 419, Loss A: 0.086301684, loss B: 0.061422285
Epoch: 420, Loss A: 0.07484739, loss B: 0.057013206
Epoch: 421, Loss A: 0.077069424, loss B: 0.06032568
Epoch: 422, Loss A: 0.09237032, loss B: 0.057074882
Epoch: 423, Loss A: 0.08732332, loss B: 0.055832364
Epoch: 424, Loss A: 0.07908139, loss B: 0.05541681
Epoch: 425, Loss A: 0.09067877, loss B: 0.05940391
Epoch: 426, Loss A: 0.07856183, loss B: 0.060099334
Epoch: 427, Loss A: 0.081882656, loss B: 0.059067152
Epoch: 428, Loss A: 0.08118602, loss B: 0.05891567
Epoch: 429, Loss A: 0.08366049, loss B: 0.059149504
Epoch: 430, Loss A: 0.08426586, loss B: 0.056569338
Epoch: 431, Loss A: 0.08729367, loss B: 0.05363775
Epoch: 432, Loss A: 0.080063336, loss B: 0.055381965
Epoch: 433, Loss A: 0.08645835, loss B: 0.06018274
Epoch: 434, Loss A: 0.07722594, loss B: 0.059914365
Epoch: 435, Loss A: 0.09115438, loss B: 0.057776093
Epoch: 436, Loss A: 0.07599005, loss B: 0.05458106
Epoch: 437, Loss A: 0.08307931, loss B: 0.05729892
Epoch: 438, Loss A: 0.09453903, loss B: 0.055426817
Epoch: 439, Loss A: 0.07801439, loss B: 0.054957733
Epoch: 440, Loss A: 0.08285554, loss B: 0.056411535
Epoch: 441, Loss A: 0.085694395, loss B: 0.058068812
Epoch: 442, Loss A: 0.076242134, loss B: 0.05879885
Epoch: 443, Loss A: 0.08191724, loss B: 0.057054386
Epoch: 444, Loss A: 0.08024886, loss B: 0.05738943
Epoch: 445, Loss A: 0.083712615, loss B: 0.055829097
Epoch: 446, Loss A: 0.08568789, loss B: 0.05815245
Epoch: 447, Loss A: 0.07461562, loss B: 0.05527871
Epoch: 448, Loss A: 0.076938435, loss B: 0.058337912
Epoch: 449, Loss A: 0.07972211, loss B: 0.05983742
Epoch: 450, Loss A: 0.08011255, loss B: 0.056801572
